"action","curr_lane","free_E","free_NE","free_NW","free_SE","free_SW","free_W","latent_collision","iaction"
"keep","False","False","False","False","False","False","False","True","swerve_left"
"keep","False","False","False","False","False","False","True","True","swerve_left"
"keep","False","False","False","False","False","True","False","True","swerve_right"
"keep","False","False","False","False","False","True","True","True","swerve_left"
"keep","False","False","False","False","True","False","False","True","swerve_right"
"keep","False","False","False","False","True","False","True","True","swerve_left"
"keep","False","False","False","False","True","True","False","True","swerve_left"
"keep","False","False","False","False","True","True","True","True","swerve_left"
"cruise","False","False","False","True","False","False","False","True","keep"
"keep","False","False","False","True","False","False","False","True","swerve_right"
"cruise","False","False","False","True","False","False","True","True","keep"
"keep","False","False","False","True","False","False","True","True","swerve_left"
"cruise","False","False","False","True","False","True","False","True","swerve_left"
"keep","False","False","False","True","False","True","False","True","cruise"
"cruise","False","False","False","True","False","True","True","True","keep"
"keep","False","False","False","True","False","True","True","True","swerve_left"
"cruise","False","False","False","True","True","False","False","True","swerve_right"
"keep","False","False","False","True","True","False","False","True","swerve_left"
"cruise","False","False","False","True","True","False","True","True","swerve_left"
"keep","False","False","False","True","True","False","True","True","swerve_left"
"cruise","False","False","False","True","True","True","False","True","swerve_left"
"keep","False","False","False","True","True","True","False","True","swerve_left"
"cruise","False","False","False","True","True","True","True","True","swerve_left"
"keep","False","False","False","True","True","True","True","True","swerve_left"
"keep","False","False","True","False","False","False","False","True","keep"
"keep","False","False","True","False","False","False","True","True","swerve_left"
"keep","False","False","True","False","False","True","False","True","keep"
"keep","False","False","True","False","False","True","True","True","swerve_left"
"keep","False","False","True","False","True","False","False","True","keep"
"keep","False","False","True","False","True","False","True","True","swerve_left"
"keep","False","False","True","False","True","True","False","True","keep"
"keep","False","False","True","False","True","True","True","True","swerve_left"
"cruise","False","False","True","True","False","False","False","True","cruise"
"keep","False","False","True","True","False","False","False","True","cruise"
"cruise","False","False","True","True","False","False","True","True","keep"
"keep","False","False","True","True","False","False","True","True","swerve_left"
"cruise","False","False","True","True","False","True","False","True","cruise"
"keep","False","False","True","True","False","True","False","True","cruise"
"cruise","False","False","True","True","False","True","True","True","keep"
"keep","False","False","True","True","False","True","True","True","swerve_left"
"cruise","False","False","True","True","True","False","False","True","cruise"
"keep","False","False","True","True","True","False","False","True","cruise"
"cruise","False","False","True","True","True","False","True","True","swerve_left"
"keep","False","False","True","True","True","False","True","True","swerve_left"
"cruise","False","False","True","True","True","True","False","True","cruise"
"keep","False","False","True","True","True","True","False","True","cruise"
"cruise","False","False","True","True","True","True","True","True","swerve_left"
"keep","False","False","True","True","True","True","True","True","swerve_left"
"keep","False","True","False","False","False","False","False","True","swerve_left"
"keep","False","True","False","False","False","False","True","True","swerve_left"
"keep","False","True","False","False","False","True","False","True","swerve_right"
"keep","False","True","False","False","False","True","True","True","swerve_left"
"keep","False","True","False","False","True","False","False","True","swerve_right"
"keep","False","True","False","False","True","False","True","True","swerve_left"
"keep","False","True","False","False","True","True","False","True","swerve_right"
"keep","False","True","False","False","True","True","True","True","swerve_left"
"cruise","False","True","False","True","False","False","False","True","cruise"
"keep","False","True","False","True","False","False","False","True","cruise"
"cruise","False","True","False","True","False","False","True","True","swerve_left"
"keep","False","True","False","True","False","False","True","True","swerve_left"
"cruise","False","True","False","True","False","True","False","True","cruise"
"keep","False","True","False","True","False","True","False","True","cruise"
"cruise","False","True","False","True","False","True","True","True","keep"
"keep","False","True","False","True","False","True","True","True","swerve_left"
"cruise","False","True","False","True","True","False","False","True","cruise"
"keep","False","True","False","True","True","False","False","True","cruise"
"cruise","False","True","False","True","True","False","True","True","keep"
"keep","False","True","False","True","True","False","True","True","swerve_left"
"cruise","False","True","False","True","True","True","False","True","cruise"
"keep","False","True","False","True","True","True","False","True","cruise"
"cruise","False","True","False","True","True","True","True","True","swerve_left"
"keep","False","True","False","True","True","True","True","True","swerve_left"
"change_to_right","False","True","True","False","False","False","False","True","keep"
"keep","False","True","True","False","False","False","False","True","change_to_right"
"change_to_right","False","True","True","False","False","False","True","True","keep"
"keep","False","True","True","False","False","False","True","True","change_to_right"
"change_to_right","False","True","True","False","False","True","False","True","keep"
"keep","False","True","True","False","False","True","False","True","change_to_right"
"change_to_right","False","True","True","False","False","True","True","True","keep"
"keep","False","True","True","False","False","True","True","True","change_to_right"
"change_to_right","False","True","True","False","True","False","False","True","keep"
"keep","False","True","True","False","True","False","False","True","change_to_right"
"change_to_right","False","True","True","False","True","False","True","True","keep"
"keep","False","True","True","False","True","False","True","True","change_to_right"
"change_to_right","False","True","True","False","True","True","False","True","keep"
"keep","False","True","True","False","True","True","False","True","change_to_right"
"change_to_right","False","True","True","False","True","True","True","True","keep"
"keep","False","True","True","False","True","True","True","True","change_to_right"
"change_to_right","False","True","True","True","False","False","False","True","cruise"
"cruise","False","True","True","True","False","False","False","True","change_to_right"
"keep","False","True","True","True","False","False","False","True","change_to_right"
"change_to_right","False","True","True","True","False","False","True","True","swerve_right"
"cruise","False","True","True","True","False","False","True","True","keep"
"keep","False","True","True","True","False","False","True","True","swerve_right"
"change_to_right","False","True","True","True","False","True","False","True","cruise"
"cruise","False","True","True","True","False","True","False","True","change_to_right"
"keep","False","True","True","True","False","True","False","True","cruise"
"change_to_right","False","True","True","True","False","True","True","True","keep"
"cruise","False","True","True","True","False","True","True","True","keep"
