swerve_left,swerve_right,cruise,keep,change_to_left,change_to_right,right_lane,left_lane
1,0,0,0,0,0,swerve_left,swerve_left
0,1,0,0,0,0,swerve_right,swerve_right
0,0,1,0,0,0,cruise,cruise
0,0,0,1,0,0,keep,keep
0,0,0,0,1,0,change_to_left,change_to_left
0,0,0,0,0,1,change_to_right,change_to_right
1,1,0,0,0,0,swerve_right,swerve_left
1,0,1,0,0,0,cruise,cruise
1,0,0,1,0,0,swerve_left,swerve_left
1,0,0,0,1,0,change_to_left,swerve_left
1,0,0,0,0,1,swerve_left,change_to_right
0,1,1,0,0,0,cruise,cruise
0,1,0,1,0,0,swerve_right,swerve_right
0,1,0,0,1,0,change_to_left,swerve_right
0,1,0,0,0,1,swerve_right,change_to_right
0,0,1,1,0,0,cruise,cruise
0,0,1,0,1,0,cruise,cruise
0,0,1,0,0,1,cruise,cruise
0,0,0,1,1,0,change_to_left,keep
0,0,0,1,0,1,keep,change_to_right
0,0,0,0,1,1,change_to_left,change_to_right
1,1,1,0,0,0,cruise,cruise
1,1,0,1,0,0,swerve_right,swerve_left
1,1,0,0,1,0,change_to_left,swerve_left
1,1,0,0,0,1,swerve_right,change_to_left
1,0,1,1,0,0,cruise,cruise
1,0,1,0,1,0,cruise,cruise
1,0,1,0,0,1,cruise,cruise
1,0,0,1,1,0,change_to_left,swerve_left
1,0,0,1,0,1,swerve_left,change_to_right
1,0,0,0,1,1,change_to_left,change_to_right
0,1,1,1,0,0,cruise,cruise
0,1,1,0,1,0,cruise,cruise
0,1,1,0,0,1,cruise,cruise
0,1,0,1,1,0,change_to_left,keep
0,1,0,1,0,1,swerve_right,change_to_right
0,1,0,0,1,1,change_to_left,change_to_right
0,0,1,1,1,0,cruise,cruise
0,0,1,1,0,1,cruise,cruise
0,0,1,0,1,1,cruise,cruise
0,0,0,1,1,1,change_to_left,change_to_right
1,1,1,1,0,0,cruise,cruise
1,1,1,0,1,0,cruise,cruise
1,1,1,0,0,1,cruise,cruise
1,1,0,1,1,0,change_to_left,swerve_left
1,1,0,1,0,1,swerve_right,change_to_right
1,1,0,0,1,1,change_to_left,change_to_right
1,0,1,1,1,0,cruise,cruise
1,0,1,1,0,1,cruise,cruise
1,0,1,0,1,1,cruise,cruise
1,0,0,1,1,1,change_to_left,change_to_right
0,1,1,1,1,0,cruise,cruise
0,1,1,1,0,1,cruise,cruise
0,1,1,0,1,1,cruise,cruise
0,1,0,1,1,1,change_to_left,change_to_right
0,0,1,1,1,1,cruise,cruise
1,1,1,1,1,0,cruise,cruise
1,1,1,1,0,1,cruise,cruise
1,1,1,0,1,1,cruise,cruise
1,1,0,1,1,1,change_to_left,change_to_right
1,0,1,1,1,1,cruise,cruise
0,1,1,1,1,1,cruise,cruise
1,1,1,1,1,1,cruise,cruise
